Car_Model,Manufacture_Year,Fuel_Type,Service_Type,Total_KM,KM_Since_Last_Service,Days_Since_Last_Service,Engine_Oil_Change,Air_Filter_Replacement,Spark_Plugs_Replacement,Brake_Pads_Replacement,Brake_Fluid_Change,Wheel_Alignment,Tire_Rotation,AC_Service,AC_Filter_Replacement,Workload_Cars_Pending,Base_Service_Hours,Workload_Delay_Hours,Final_Service_Time_Hours,Predicted_Time
XC40,2020,Petrol,General,31246,2685,140,0,0,0,0,0,1,0,0,0,22,6,18.4,24.4,2.5
V90,2023,Petrol,Brake,37506,5092,195,0,0,0,1,1,0,0,0,0,7,4,3.4,7.4,4.9
XC40,2023,Petrol,Major,87082,13095,111,1,1,1,1,1,0,1,0,0,19,17,9.5,26.5,8.8
XC60,2020,Petrol,Major,14859,986,281,1,1,0,0,1,0,0,0,0,7,17,3.5,20.5,5.9
XC90,2020,Diesel,General,88529,17036,338,1,1,0,1,1,1,1,1,1,23,6,21.5,27.5,8.6
XC90,2023,Petrol,General,104859,18654,140,1,1,1,1,0,1,1,0,0,4,6,1.8,7.8,6.9
XC60,2015,Petrol,Major,170198,17279,172,1,1,1,1,1,1,1,0,0,10,17,8.8,25.8,9.0
XC60,2015,Petrol,General,161868,11461,182,1,0,1,1,0,0,1,0,0,13,6,7.0,13.0,5.6
XC40,2022,Petrol,Major,36896,3091,185,1,1,0,1,1,1,0,0,0,4,17,2.7,19.7,8.2
XC60,2015,Petrol,General,158875,12356,209,1,0,1,1,0,1,1,0,0,19,6,18.0,24.0,6.9
XC40,2015,Diesel,AC,165373,12776,160,1,0,0,1,0,0,1,1,1,10,2,7.5,9.5,6.9
V90,2022,Diesel,Major,37640,4991,184,1,1,0,1,1,0,0,0,0,7,17,3.7,20.7,7.8
XC90,2019,Petrol,Major,20698,1954,342,1,1,0,0,1,0,0,1,0,5,17,2.9,19.9,7.4
XC90,2019,Petrol,AC,30998,3414,211,0,0,0,0,0,1,0,1,0,3,2,2.9,4.9,4.6
XC90,2021,Petrol,Major,106542,21151,182,1,1,1,1,1,1,1,0,0,22,17,14.4,31.4,9.0
V90,2023,Diesel,General,36964,5759,173,0,0,0,0,0,0,0,0,0,22,6,16.5,22.5,2.5
V90,2020,Diesel,General,19762,3811,299,0,0,0,0,1,1,0,0,0,22,6,14.9,20.9,4.5
S60,2021,Diesel,Major,20846,1666,75,1,1,0,0,1,1,0,0,0,2,17,1.3,18.3,7.3
XC40,2022,Diesel,General,30916,3508,78,0,0,0,0,0,0,0,0,0,11,6,5.9,11.9,2.0
XC40,2015,Petrol,Major,154377,21251,289,1,1,1,1,1,1,1,0,0,10,17,8.1,25.1,9.0
